author,time,urls,votes,text_clean,polarity_score,polarity,sentiment
devi Shelvia,38 menit yang lalu,https://youtu.be/a7c8BArQs-s,0,pakai behel gigi rapi tidak pada senyum tertawa gigi rengang rahang maju malu kadang minimal usia pakai behel usia,5,positive,1
Azmi Zahra Dzakiyyah,8 hari yang lalu,https://youtu.be/a7c8BArQs-s,0,warna karet behel bagus kakak,2,positive,1
Diana Moreira,11 hari yang lalu,https://youtu.be/a7c8BArQs-s,0,habis lepas behel k pakai retainer gigi tidak tolong balas iya kak,-4,negative,0
ONE milion,3 minggu yang lalu,https://youtu.be/a7c8BArQs-s,0,gigi masuk rapi tipe open bite gigi tidak saling sentuh pas diam moga pasang behel percaya diri tertawa,11,positive,1
Muhammad Farhan Afriansyah,3 minggu yang lalu,https://youtu.be/a7c8BArQs-s,0,ngerapihin gigi pergi kah gigi langsung padang,1,positive,1
Dody Media Channel,1 bulan yang lalu,https://youtu.be/a7c8BArQs-s,0,cantik,2,positive,1
Nadia Ss,1 bulan yang lalu,https://youtu.be/a7c8BArQs-s,0,saran cici cantik gigi cabut deh pas muka gigi on point,-1,negative,0
Umi Latifah,1 bulan yang lalu,https://youtu.be/a7c8BArQs-s,1,terima kasih kak info bermanfat bangetmoga lancar depa and sukses kakakjangan lupa doa kak sedih nihaq percaya diripngn bangetaq senyum kaku,3,positive,1
Cyntia Tatum,1 bulan yang lalu,https://youtu.be/a7c8BArQs-s,0,mahal pakai behel psgnya,1,positive,1
Siti Maftukhah,1 bulan yang lalu,https://youtu.be/a7c8BArQs-s,0,kakak cantik,2,positive,1
Anita Eva,3 bulan yang lalu,https://youtu.be/a7c8BArQs-s,0,found this video right after tok of my braces kakak dokter sportho bagus hasil bagus pakai kondisi gigi parah lepas pakai retainer tidak sesal hasil muas,8,positive,1
rina Efendi,3 bulan yang lalu,https://youtu.be/a7c8BArQs-s,0,pasang behelhrs pasang retainer,8,positive,1
ALDOS Tiytid Tok,3 bulan yang lalu,https://youtu.be/a7c8BArQs-s,0,eh metal gue rebu,0,neutral,2
Indah Nirmala Said,3 bulan yang lalu,https://youtu.be/a7c8BArQs-s,0,tidak telah lepas behel kak molita pakai retainer,-2,negative,0
Annisa Ayu,3 bulan yang lalu,https://youtu.be/a7c8BArQs-s,0,enggak kak pas k pasang behel gigi bungsu operasi,5,positive,1
Larasati Dhyandra Tatiana,3 bulan yang lalu,https://youtu.be/a7c8BArQs-s,0,kak braces journey,0,neutral,2
RN A,4 bulan yang lalu,https://youtu.be/a7c8BArQs-s,0,cantik,2,positive,1
noname,4 bulan yang lalu,https://youtu.be/a7c8BArQs-s,0,kak behel harga,3,positive,1
