urls,channel_name,author,text,time,votes,sentiment,polarity,photo
https://youtu.be/a7c8BArQs-s,Molita Lin,septia rahma,"Aku baru sebulan udah pengen lepas rasanya. Udah gak peduli uang yang keluar sayang. Pokoknya gak nyaman, setiap hari sedih terus. Akhirnya aku cerita ke dokterku kalau aku dah gak kuat aku bilang kalau bakal bertahan 2 atau 3 bulan dari pemasangan behel. Setelah itu aku minta buat beneran lepas aja. Pokoknya jangan ragu buat cerita ke dokter",12 hari yang lalu,0,negative,98.79%,https://yt3.ggpht.com/FLgRVu2E6DAzkigyyM5SADtU0kkORHj4MAH6fAqiHhQkpEhnAoGS4NM-Oj-l2BY5yhCVAjlN=s176-c-k-c0x00ffffff-no-rj
https://youtu.be/a7c8BArQs-s,Molita Lin,Tatum Puspasari,"Kak, pas awal2 pasang bracketny suka lepas2 nggak? Apa cuman punyaku doang yg suka lepas2 dbagian ujung2ny 🥲",1 bulan yang lalu,0,positive,99.96%,https://yt3.ggpht.com/ytc/AMLnZu8w-L67dfADesGuzWyU-qkHflmkrvCExMemaSc9NTU=s176-c-k-c0x00ffffff-no-rj
https://youtu.be/a7c8BArQs-s,Molita Lin,Yustin Dendo,Kalau mau lepas behel 6 bulan bisa apa ngakak kka??😊,1 bulan yang lalu,0,negative,68.81%,https://yt3.ggpht.com/Qm1UaXx9CfwY2Fo0ArAxjR2OIfbUo_A-JZjkeQRlaUWsFyQ9RBbpTl0zKbiqqea4luO6M_XZUQ=s176-c-k-c0x00ffffff-no-rj
https://youtu.be/a7c8BArQs-s,Molita Lin,Zee Ara,Aku udh 7 blm gk ad perubahan,1 bulan yang lalu,0,neutral,99.95%,https://yt3.ggpht.com/ytc/AMLnZu9NUXlviMLmvvMbxiIQKv-8Sc1trVxvsD-RzO67Dh9GN9aDoPk4jSFqix8YSqsO=s176-c-k-c0x00ffffff-no-rj
https://youtu.be/a7c8BArQs-s,Molita Lin,ulipop,berapa total pengeluaran biaya dari pasang behel sampe perbulannya ? 🙄,1 bulan yang lalu,0,positive,99.89%,https://yt3.ggpht.com/ytc/AMLnZu-_8NlYtw2t-TkFvEqbTkvfFTDbP-xja31we6gIcnu35Snxl-NfuoKTBzhu9xCt=s176-c-k-c0x00ffffff-no-rj
https://youtu.be/a7c8BArQs-s,Molita Lin,Iienaf Hidayati,"Cepet banget yaa, awal2 aku pakai behel jga nonton di sni",1 bulan yang lalu,0,negative,63.91%,https://yt3.ggpht.com/eJy7YBhBMi5iplCgRBvBp26fku7kEJg5-XgrVkl4lhImXCHMoOW5_NO-U1ljqCAvfKFkSpQayA=s176-c-k-c0x00ffffff-no-rj
https://youtu.be/a7c8BArQs-s,Molita Lin,hana septiani,Pas banget lagi pengen pasang behel.. thanks kaa,2 bulan yang lalu,0,positive,99.98%,https://yt3.ggpht.com/J0jgBqnL1wgCFmGJR76ApHb96QsDujcml1Uazt-4mPYduHM3P380ELpGfDVoq1dNYgrGCp3R=s176-c-k-c0x00ffffff-no-rj
https://youtu.be/a7c8BArQs-s,Molita Lin,vick chou,Ka kenapa milih behel metal?,2 bulan yang lalu,0,neutral,99.87%,https://yt3.ggpht.com/ytc/AMLnZu9bjykEbchIfY8I04ZZz8gC9jTOTkp20knUTVu70k28GD0p-E9FThyf1Aslcr18=s176-c-k-c0x00ffffff-no-rj
https://youtu.be/a7c8BArQs-s,Molita Lin,ghina amelia,"ka mau nanya, waktu cabut gigi ada kondisi muka jadi bengkak gak ka?",2 bulan yang lalu,0,negative,99.97%,https://yt3.ggpht.com/ytc/AMLnZu8O7-5TOEAxGd2jtlcsqUXsSk9dyjtjTIeboi3aTWT-QaGLRd-o0t-ES3mYb4UJ=s176-c-k-c0x00ffffff-no-rj
https://youtu.be/a7c8BArQs-s,Molita Lin,Dome Haus,Kalo baru baru pasang behel biasanya penyesuaian apa aja ka?,2 bulan yang lalu,0,positive,99.98%,https://yt3.ggpht.com/ytc/AMLnZu94NfopPL9LyRnH50vXxo_ltbTp1Nghd0D8jiOOxxv7NbRX2syFADFbwt1reu8D=s176-c-k-c0x00ffffff-no-rj
